Progressivo;Nominativo;Data Seduta;Gruppo Politico;Presenza;Num.Votazioni;Percentuale presenza alle votazioni
"9116";"CEVENINI MAURIZIO";07/10/2011;"PARTITO DEMOCRATICO";"P";1;49 
"9076";"MAZZANTI CLAUDIO";07/10/2011;"PARTITO DEMOCRATICO";"P";1;49 
"29442";"CRITELLI FRANCESCO";07/10/2011;"PARTITO DEMOCRATICO";"P";0;0  
"32746";"LEMBI SIMONA";07/10/2011;"PARTITO DEMOCRATICO";"P";1;49 
"27189";"BARCELO' LIZANA LEONARDO L.";07/10/2011;"PARTITO DEMOCRATICO";"P";0;0  
"15586";"MARCHESINI ANGELO";07/10/2011;"PARTITO DEMOCRATICO";"P";0;0  
"18313";"LO GIUDICE SERGIO";07/10/2011;"PARTITO DEMOCRATICO";"P";0;0  
"9181";"SANTI RAFFAELLA";07/10/2011;"PARTITO DEMOCRATICO";"P";1;49 
"32704";"LAMA ROSSELLA";07/10/2011;"PARTITO DEMOCRATICO";"P";0;0  
"27410";"FERRI MARIARAFFAELLA";07/10/2011;"PARTITO DEMOCRATICO";"P";0;0  
"27481";"ZACCHIROLI BENEDETTO";07/10/2011;"PARTITO DEMOCRATICO";"P";1;49 
"32794";"MIGNANI MARIANNA";07/10/2011;"PARTITO DEMOCRATICO";"P";0;0  
"22034";"GHETTI MAURIZIO";07/10/2011;"PARTITO DEMOCRATICO";"P";0;0  
"33977";"BENASSI MARZIA";07/10/2011;"PARTITO DEMOCRATICO";"P";0;0  
"33978";"ERRANI FRANCESCO";07/10/2011;"PARTITO DEMOCRATICO";"A";0;0  
"27197";"MELEGA CORRADO";07/10/2011;"PARTITO DEMOCRATICO";"P";0;0  
